overlay on / type overlay (rw,relatime,lowerdir=/var/lib/docker/overlay2/l/KSYLD5DDFCNIKTRKUD7BTKWE52:/var/lib/docker/overlay2/l/P3MJOUBZCDVPVDQ4BOPLJQMBAK:/var/lib/docker/overlay2/l/3CXG6SBYGB7UF7EFY2DVTIQ6B7:/var/lib/docker/overlay2/l/BTZ5ITEY5VN5YHKBF5ISY6SYUX:/var/lib/docker/overlay2/l/EWLJQP6QN2PXJ6ADOXCCCKFST4:/var/lib/docker/overlay2/l/KEUC2KG3MXK6JFGKRYKAGT7NCW:/var/lib/docker/overlay2/l/JPTPU224NAIXKCWJWLNIQ3N6AC:/var/lib/docker/overlay2/l/NKJIXGDN3ULC73F4XMUH4HSLUV:/var/lib/docker/overlay2/l/26DWWOY22U3N4O3XKCEGYGUTV7:/var/lib/docker/overlay2/l/24ECL2YIKPSRQQNDATJYMW2KBQ:/var/lib/docker/overlay2/l/NQ76FF6PL2KTFDA32ILV5AYKHP:/var/lib/docker/overlay2/l/LMMYMRIIVYMT53YF55GCCLTTXH:/var/lib/docker/overlay2/l/HSP3RPPF4YHGBODSBH6TLTJ5XK:/var/lib/docker/overlay2/l/NXOHSG5FTY3U4HHVL5IG52D43U:/var/lib/docker/overlay2/l/TH7NJ7WROHCANUN4FL4G23N6E3:/var/lib/docker/overlay2/l/CQQEX7JJC65RNKX6BTI2V2I4HQ:/var/lib/docker/overlay2/l/5DBVK73KWGPCKGD62YILFCL66Y:/var/lib/docker/overlay2/l/TLFIUKAIQBN6PY7T2UCVRPMVOU:/var/lib/docker/overlay2/l/7QXZSTB6IYY2OADBG24PYJBAYK:/var/lib/docker/overlay2/l/RGXNUQU4UCI2BGOVEDHG46SSD4:/var/lib/docker/overlay2/l/AQZFYARQSSDQ74PNPQSXMJVKGQ:/var/lib/docker/overlay2/l/TDR4NGYOKUWDSBSHLMOEL5FCYY:/var/lib/docker/overlay2/l/RNDI4DESXEISN3NSACRBIXJLW7:/var/lib/docker/overlay2/l/RPR3PVJYEVEVZKHESJIOLM6IXV:/var/lib/docker/overlay2/l/6BEDYDC25YZ7C24V33NH5ZIPEB:/var/lib/docker/overlay2/l/B46WF4R2ZVMVCMKYRYLXMQHZVI:/var/lib/docker/overlay2/l/4GT37UTFZXDNCB2BQ54GZXSCRF:/var/lib/docker/overlay2/l/VQQ3HG4ACHGVBLU4PFWXXJOKG3:/var/lib/docker/overlay2/l/W7SFSPQRKZTCF4PZA64ESCHMQD:/var/lib/docker/overlay2/l/BVNS6NFPYIPR6RXZ6SGJVF4C3V:/var/lib/docker/overlay2/l/3AZWPSFY2T3LNGKRDHTDDJZYCL:/var/lib/docker/overlay2/l/UFAXMWLOX2WR3PTHUASGEKYZTL:/var/lib/docker/overlay2/l/AV3FK7G4EUK2NU32LFK5NQQNLB:/var/lib/docker/overlay2/l/Y3ROC6K7WFVKQKFVEVERPFMFAA:/var/lib/docker/overlay2/l/OWRRC2OMUVCP5ICPC2T46IXEZO:/var/lib/docker/overlay2/l/2NBPMXXD255OPCGAUP3JNEQLQB,upperdir=/var/lib/docker/overlay2/110464731a7ef3ceaa8a6f452d8976f5b280b78dddf066ca9a3f1e2a24eb7c3d/diff,workdir=/var/lib/docker/overlay2/110464731a7ef3ceaa8a6f452d8976f5b280b78dddf066ca9a3f1e2a24eb7c3d/work,nouserxattr)
proc on /proc type proc (rw,nosuid,nodev,noexec,relatime)
tmpfs on /dev type tmpfs (rw,nosuid,size=65536k,mode=755,inode64)
devpts on /dev/pts type devpts (rw,nosuid,noexec,relatime,gid=5,mode=620,ptmxmode=666)
sysfs on /sys type sysfs (rw,nosuid,nodev,noexec,relatime)
cgroup on /sys/fs/cgroup type cgroup2 (rw,nosuid,nodev,noexec,relatime,nsdelegate,memory_recursiveprot)
mqueue on /dev/mqueue type mqueue (rw,nosuid,nodev,noexec,relatime)
shm on /dev/shm type tmpfs (rw,nosuid,nodev,noexec,relatime,size=65536k,inode64)
/dev/sda1 on /usr/sbin/docker-init type ext4 (ro,relatime,discard,errors=remount-ro)
/dev/sdb1 on /tmp type ext4 (rw,relatime)
/dev/sda1 on /vscode type ext4 (rw,relatime,discard,errors=remount-ro)
/dev/loop3 on /workspaces type ext4 (rw,nodev,relatime)
/dev/sda1 on /.codespaces/bin type ext4 (rw,relatime,discard,errors=remount-ro)
/dev/loop3 on /etc/resolv.conf type ext4 (rw,nodev,relatime)
/dev/loop3 on /etc/hostname type ext4 (rw,nodev,relatime)
/dev/loop3 on /etc/hosts type ext4 (rw,nodev,relatime)
/dev/loop3 on /workspaces/.codespaces/.persistedshare type ext4 (rw,nodev,relatime)
/dev/loop3 on /var/lib/docker type ext4 (rw,nodev,relatime)
/dev/loop3 on /home/vscode/.minikube type ext4 (rw,nodev,relatime)
/dev/sda1 on /workspaces/.codespaces/shared type ext4 (rw,relatime,discard,errors=remount-ro)
none on /sys/kernel/security type securityfs (rw,relatime)
